epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,101.702,1.00471,0.61778,1.23857,0.92184,0.58013,0.92611,0.75928,0.8267,1.15996,1.44568,0.000125935,0.000125935,0.000125935
41,104.588,0.64594,0.47268,1.43924,0.92209,0.57962,0.92792,0.76096,0.83844,1.22295,1.47201,0.000127082,0.000127082,0.000127082
42,106.833,0.47344,0.45196,1.10101,0.92209,0.57962,0.92792,0.76096,0.83844,1.22295,1.47201,0.000128124,0.000128124,0.000128124
43,109.94,0.62315,0.50752,1.10904,0.92235,0.57889,0.92467,0.75793,0.85766,1.33703,1.4724,0.000129061,0.000129061,0.000129061
44,112.833,0.81038,0.50396,1.18865,0.92235,0.57889,0.92467,0.75793,0.85766,1.33703,1.4724,0.000129895,0.000129895,0.000129895
45,115.471,0.82575,0.5417,0.92758,0.55833,0.91667,0.90383,0.74127,0.86955,1.41203,1.47436,0.000130625,0.000130625,0.000130625
46,117.817,0.75307,0.51882,1.23402,0.55833,0.91667,0.90383,0.74127,0.86955,1.41203,1.47436,0.00013125,0.00013125,0.00013125
47,119.943,0.55346,0.50926,1.1367,0.57619,0.91667,0.89133,0.71842,0.882,1.55211,1.47653,0.000131771,0.000131771,0.000131771
48,122.23,0.9383,0.62498,1.33443,0.57619,0.91667,0.89133,0.71842,0.882,1.55211,1.47653,0.000132189,0.000132189,0.000132189
49,124.419,0.70117,0.46951,1.35441,0.57619,0.91667,0.883,0.7246,0.87028,1.64868,1.46808,0.000132502,0.000132502,0.000132502
50,126.85,0.65915,0.46131,1.1584,0.57619,0.91667,0.883,0.7246,0.87028,1.64868,1.46808,0.00013271,0.00013271,0.00013271
51,129.266,0.72209,0.50176,1.05001,0.55952,0.83333,0.84958,0.68533,0.85015,1.70211,1.47615,0.000132815,0.000132815,0.000132815
52,131.356,0.52652,0.40585,1.19398,0.55952,0.83333,0.84958,0.68533,0.85015,1.70211,1.47615,0.000132816,0.000132816,0.000132816
53,133.796,0.68175,0.45445,1.23966,0.55952,0.83333,0.84958,0.68533,0.85015,1.70211,1.47615,0.000132712,0.000132712,0.000132712
54,136.513,0.84436,0.57237,1.51326,0.59524,0.83333,0.85262,0.68799,0.84142,1.69593,1.51208,0.000132504,0.000132504,0.000132504
55,138.642,0.6388,0.5273,1.25579,0.59524,0.83333,0.85262,0.68799,0.84142,1.69593,1.51208,0.000132192,0.000132192,0.000132192
56,140.689,0.58227,0.56713,1.24024,0.59524,0.83333,0.85262,0.68799,0.84142,1.69593,1.51208,0.000131776,0.000131776,0.000131776
57,142.963,0.82443,0.53169,1.38501,0.64444,0.83333,0.85667,0.69153,0.82734,1.70044,1.50555,0.000131256,0.000131256,0.000131256
58,145.259,0.79878,0.53353,1.35198,0.64444,0.83333,0.85667,0.69153,0.82734,1.70044,1.50555,0.000130632,0.000130632,0.000130632
59,147.66,0.78559,0.51319,1.03434,0.64444,0.83333,0.85667,0.69153,0.82734,1.70044,1.50555,0.000129903,0.000129903,0.000129903
60,149.962,0.7301,0.52619,1.72261,0.64444,0.83333,0.85667,0.69153,0.82771,1.76896,1.51491,0.00012907,0.00012907,0.00012907
61,152.402,0.87279,0.55535,1.48731,0.64444,0.83333,0.85667,0.69153,0.82771,1.76896,1.51491,0.000128134,0.000128134,0.000128134
62,154.924,0.94145,0.58979,1.03172,0.64444,0.83333,0.85667,0.69153,0.82771,1.76896,1.51491,0.000127093,0.000127093,0.000127093
63,157.737,0.86941,0.58312,1.49978,0.71667,0.83333,0.86233,0.69648,0.83885,1.89985,1.52999,0.000125948,0.000125948,0.000125948
64,160.154,0.82204,0.53746,1.35639,0.71667,0.83333,0.86233,0.69648,0.83885,1.89985,1.52999,0.000124698,0.000124698,0.000124698
65,162.204,0.81277,0.60041,1.92428,0.71667,0.83333,0.86233,0.69648,0.83885,1.89985,1.52999,0.000123345,0.000123345,0.000123345
66,164.817,0.68072,0.48966,1.3552,0.71667,0.83333,0.86233,0.69648,0.85656,1.93986,1.51515,0.000121887,0.000121887,0.000121887
67,167.493,1.01645,0.8419,1.08115,0.71667,0.83333,0.86233,0.69648,0.85656,1.93986,1.51515,0.000120326,0.000120326,0.000120326
68,170.144,0.87726,0.78499,1.49602,0.71667,0.83333,0.86233,0.69648,0.85656,1.93986,1.51515,0.00011866,0.00011866,0.00011866
69,172.399,0.74187,0.51011,1.17473,0.66667,0.83333,0.86233,0.69648,0.8578,2.02307,1.51131,0.00011689,0.00011689,0.00011689
70,174.733,0.65122,0.41982,1.20392,0.66667,0.83333,0.86233,0.69648,0.8578,2.02307,1.51131,0.000115016,0.000115016,0.000115016
71,177.06,0.80902,0.54277,1.44806,0.66667,0.83333,0.86233,0.69648,0.8578,2.02307,1.51131,0.000113037,0.000113037,0.000113037
72,179.609,0.74312,0.47893,1.11506,0.66667,0.83333,0.86233,0.69648,0.87595,2.02107,1.52723,0.000110955,0.000110955,0.000110955
73,181.881,0.85623,0.53673,1.64117,0.66667,0.83333,0.86233,0.69648,0.87595,2.02107,1.52723,0.000108768,0.000108768,0.000108768
74,183.912,0.63018,0.63052,1.27595,0.66667,0.83333,0.86233,0.69648,0.87595,2.02107,1.52723,0.000106478,0.000106478,0.000106478
75,186.306,0.75479,0.50946,1.03554,0.66667,0.83333,0.86233,0.69648,0.86882,1.99757,1.51282,0.000104083,0.000104083,0.000104083
76,188.694,0.74705,0.51823,1.21971,0.66667,0.83333,0.86233,0.69648,0.86882,1.99757,1.51282,0.000101584,0.000101584,0.000101584
77,191.212,0.69211,0.455,1.16637,0.66667,0.83333,0.86233,0.69648,0.86882,1.99757,1.51282,9.89806e-05,9.89806e-05,9.89806e-05
78,193.601,0.96107,0.6552,1.49429,0.66667,0.83333,0.86233,0.69648,0.86672,1.99994,1.50496,9.62733e-05,9.62733e-05,9.62733e-05
79,195.719,0.77397,0.54924,1.53402,0.66667,0.83333,0.86233,0.69648,0.86672,1.99994,1.50496,9.34618e-05,9.34618e-05,9.34618e-05
80,197.986,0.64364,0.50329,1.0633,0.66667,0.83333,0.86233,0.69648,0.86672,1.99994,1.50496,9.05462e-05,9.05462e-05,9.05462e-05
81,200.518,0.93733,0.60032,1.06133,0.63333,0.83333,0.86233,0.69648,0.87445,1.99221,1.51619,8.75264e-05,8.75264e-05,8.75264e-05
82,202.823,0.89718,0.55981,1.34377,0.63333,0.83333,0.86233,0.69648,0.87445,1.99221,1.51619,8.44025e-05,8.44025e-05,8.44025e-05
83,205.073,0.82851,0.58095,1.10674,0.63333,0.83333,0.86233,0.69648,0.87445,1.99221,1.51619,8.11744e-05,8.11744e-05,8.11744e-05
84,207.393,0.79431,0.54323,1.55451,0.63333,0.83333,0.86233,0.69648,0.87859,1.94187,1.51112,7.78422e-05,7.78422e-05,7.78422e-05
85,209.548,0.69063,0.49406,1.26503,0.63333,0.83333,0.86233,0.69648,0.87859,1.94187,1.51112,7.44059e-05,7.44059e-05,7.44059e-05
86,211.68,0.68093,0.54396,1.56966,0.63333,0.83333,0.86233,0.69648,0.87859,1.94187,1.51112,7.08654e-05,7.08654e-05,7.08654e-05
87,213.876,0.66653,0.48813,1.08864,0.63333,0.83333,0.86233,0.69648,0.87859,1.94187,1.51112,6.72207e-05,6.72207e-05,6.72207e-05
88,216.13,0.67823,0.46622,1.58841,0.64627,0.5,0.53067,0.45152,0.88937,1.90752,1.51841,6.34719e-05,6.34719e-05,6.34719e-05
89,218.414,0.80709,0.49929,1.32562,0.64627,0.5,0.53067,0.45152,0.88937,1.90752,1.51841,5.96189e-05,5.96189e-05,5.96189e-05
90,220.978,1.0719,0.61455,1.29391,0.64627,0.5,0.53067,0.45152,0.88937,1.90752,1.51841,5.56618e-05,5.56618e-05,5.56618e-05
91,223.679,0.72848,0.50751,1.33106,0.64627,0.5,0.53067,0.45152,0.88937,1.90752,1.51841,5.16006e-05,5.16006e-05,5.16006e-05
92,226.179,0.88252,0.60588,1.08393,0.61111,0.83333,0.85667,0.69153,0.88468,1.82266,1.51225,4.74352e-05,4.74352e-05,4.74352e-05
93,229.048,0.68312,0.44239,1.34098,0.61111,0.83333,0.85667,0.69153,0.88468,1.82266,1.51225,4.31657e-05,4.31657e-05,4.31657e-05
94,231.661,0.89819,0.53407,1.1406,0.61111,0.83333,0.85667,0.69153,0.88468,1.82266,1.51225,3.8792e-05,3.8792e-05,3.8792e-05
95,233.615,0.7617,0.52932,1.25901,0.61111,0.83333,0.85667,0.69153,0.88468,1.82266,1.51225,3.43141e-05,3.43141e-05,3.43141e-05
96,236.875,0.6924,0.45707,1.29116,0.97914,0.5,0.85262,0.68799,0.89176,1.7718,1.51069,2.97322e-05,2.97322e-05,2.97322e-05
97,239.505,0.7017,0.47363,1.24613,0.97914,0.5,0.85262,0.68799,0.89176,1.7718,1.51069,2.5046e-05,2.5046e-05,2.5046e-05
98,241.818,0.69091,0.50196,1.01376,0.97914,0.5,0.85262,0.68799,0.89176,1.7718,1.51069,2.02557e-05,2.02557e-05,2.02557e-05
99,244.486,0.73029,0.51104,1.31106,0.97914,0.5,0.85262,0.68799,0.89176,1.7718,1.51069,1.53613e-05,1.53613e-05,1.53613e-05
100,246.781,0.68525,0.47725,1.43332,0.5119,0.83333,0.85262,0.68799,0.90735,1.60866,1.52696,1.03627e-05,1.03627e-05,1.03627e-05
